"","Title","Author","Year","Abstract"
"38","Murine CD146 is widely expressed on endothelial cells and is recognized by the monoclonal antibody ME-9F1.","Schrage, Loddenkemper, Erben, Lauer, Hausdorf, Jungblut, Johnson, Knolle, Zeitz, Hamann, Klugewitz","2008","The endothelium plays an important role in the exchange of molecules, but also of immune cells between blood and the underlying tissue. The endothelial molecule S-Endo 1 antigen (CD146) is preferentially located at endothelial junctions and has been claimed to support endothelial integrity. In this study we show that the monoclonal antibody ME-9F1 recognizes the extracellular portion of murine CD146. Making use of ME-9F1 we found CD146 highly expressed and widely spread on endothelial cells in the analyzed murine tissues. In contrast to humans that express CD146 also on T cells or follicular dendritic cells, murine CD146 albeit at low levels was only found on a subset of NK1.1+ cells. The antibody against murine CD146 is useful for immunomagnetic sorting of primary endothelial cells not only from the liver but from various other organs. In vitro, no evidence was seen that the formation and integrity of endothelial monolayers or the transendothelial migration of T cells was affected by antibody binding to CD146 or by crosslinking of the antigen. This makes the antibody ME-9F1 an excellent tool especially for the ex vivo isolation of murine endothelial cells intended to be used in functional studies."
"39","Proteome analysis of apoptosis signaling by S-trityl-L-cysteine, a potent reversible inhibitor of human mitotic kinesin Eg5.","Kozielski, Skoufias, Indorato, Saoudi, Jungblut, Hustoft, Strozynski, Thiede","2008","Mitotic kinesins represent potential drug targets for anticancer chemotherapy. Inhibitors of different chemical classes have been identified that target human Eg5, a kinesin responsible for the establishment of the bipolar spindle. One potent Eg5 inhibitor is S-trityl-L-cysteine (STLC), which arrests cells in mitosis and exhibits tumor growth inhibition activity. However, the underlying mechanism of STLC action on the molecular level is unknown. Here, cells treated with STLC were blocked in mitosis through activation of the spindle assembly checkpoint as shown by the phosphorylated state of BubR1 and the accumulation of mitosis specific phosphorylation on histone H3 and aurora A kinase. Using live cell imaging, we observed prolonged mitotic arrest and subsequent cell death after incubation of GFP-alpha-tubulin HeLa cells with STLC. Activated caspase-9 occurred before cleavage of caspase-8 leading to the accumulation of the activated executioner caspase-3 suggesting that STLC induces apoptosis through the intrinsic apoptotic pathway. Proteome analysis following STLC treatment revealed 33 differentially regulated proteins of various cellular processes, 31 of which can be linked to apoptotic cell death. Interestingly, four identified proteins, chromobox protein homolog, RNA-binding Src associated in mitosis 68 kDa protein, stathmin, and translationally controlled tumor protein can be linked to mitotic and apoptotic processes."
"40","Intermediate-type 20 S proteasomes in HeLa cells: ""asymmetric"" subunit composition, diversity and adaptation.","Klare, Seeger, Janek, Jungblut, Dahlmann","2007","The 20 S proteasomes are cylinder-shaped heteromeric dimers with a subunit configuration of alpha7, beta7, beta7, alpha7. Replacement of the three active site-containing standard beta-subunits (beta1, beta2, beta5) by immuno-beta-subunits (beta1i, beta2i, beta5i) results in formation of 20 S immuno-proteasomes, while only partial replacement leads to intermediate-type proteasomes. Synthesis of immuno-subunits can be induced by interferon-gamma, which causes a complete transformation of three subtypes of standard proteasomes into three subtypes of intermediate-type proteasomes in HeLa cells, a process that results in a change in the proteolytic activities of the enzymes. HeLa cells producing the proteasome beta1-subunit tagged with the Fc region-binding ZZ domain of protein A were grown in the presence of interferon-gamma. From these cells, we have purified 20 S proteasomes by using IgG-affinity resin and analysed them by 2D PAGE. Our study showed that subunit replacement can be confined to one half of the proteasome cylinder, resulting in the formation of intermediate-type proteasomes with ""asymmetric"" subunit composition. Analysis of proteasomes purified from the cytoplasm, nucleoplasm, and microsomes of HeLa S3 cells reveals that all three compartments are furnished with intermediate-type proteasomes of different subtype and subunit composition, exhibiting different specific proteolytic activities."
"41","Comparative analysis of the complete genome sequence of the plant growth-promoting bacterium Bacillus amyloliquefaciens FZB42.","Chen, Koumoutsi, Scholz, Eisenreich, Schneider, Heinemeyer, Morgenstern, Voss, Hess, Reva, Junge, Voigt, Jungblut, Vater, Süssmuth, Liesegang, Strittmatter, Gottschalk, Borriss","2007","Bacillus amyloliquefaciens FZB42 is a Gram-positive, plant-associated bacterium, which stimulates plant growth and produces secondary metabolites that suppress soil-borne plant pathogens. Its 3,918-kb genome, containing an estimated 3,693 protein-coding sequences, lacks extended phage insertions, which occur ubiquitously in the closely related Bacillus subtilis 168 genome. The B. amyloliquefaciens FZB42 genome reveals an unexpected potential to produce secondary metabolites, including the polyketides bacillaene and difficidin. More than 8.5% of the genome is devoted to synthesizing antibiotics and siderophores by pathways not involving ribosomes. Besides five gene clusters, known from B. subtilis to mediate nonribosomal synthesis of secondary metabolites, we identified four giant gene clusters absent in B. subtilis 168. The pks2 gene cluster encodes the components to synthesize the macrolactin core skeleton."
"42","Experimental determination of translational starts using peptide mass mapping and tandem mass spectrometry within the proteome of Mycobacterium tuberculosis.","Rison, Mattow, Jungblut, Stoker","2007","Identification of protein translation start sites is largely a bioinformatics exercise, with relatively few confirmed by N-terminal sequencing. Translation start site determination is critical for defining both the protein sequence and the upstream DNA which may contain regulatory motifs. It is demonstrated here that translation start sites can be determined during routine protein identification, using MALDI-MS and MS/MS data to select the correct N-terminal sequence from a list of alternatives generated in silico. Applying the method to 13 proteins from Mycobacterium tuberculosis, 11 predicted translational start sites were confirmed, and two reassigned. The authors suggest that these data (be they confirmation or reassignments) are important for the annotation of both this genome and those of organisms with related genes. It was also shown that N-acetylation, reported to be rare in prokaryotes, was present in three of the 13 proteins (23 %), suggesting that in the mycobacteria this modification may be common, and an important regulator of protein function, although more proteins need to be analysed. This method can be performed with little or no additional experimental work during proteomics investigations."
"43","Association of citrullinated proteins with synovial exosomes.","Skriner, Adolph, Jungblut, Burmester","2006","In addition to releasing proteins and mediators, cells also release membrane vesicles (exosomes and apoptotic blebs) into the extracellular environment. Apoptotic blebs contain multiple autoantigens, but few data are available concerning the protein content of exosomes. Exosomes are formed during an immune response and can directly stimulate T cells or bind to dendritic cells. The aim of this study was to identify the nature of synovial exosomes from patients with different rheumatic diseases and to examine their potential autoantigenic content, which may be involved in the induction of an autoimmune response."
"44","The necessity of functional proteomics: protein species and molecular function elucidation exemplified by in vivo alpha A crystallin N-terminal truncation.","Hoehenwarter, Ackermann, Zimny-Arndt, Kumar, Jungblut","2006","Ten years after the establishment of the term proteome, the science surrounding it has yet to fulfill its potential. While a host of technologies have generated lists of protein names, there are only a few reported studies that have examined the individual proteins at the covalent chemical level defined as protein species in 1997 and their function. In the current study, we demonstrate that this is possible with two-dimensional gel electrophoresis (2-DE) and mass spectrometry by presenting clear evidence of in vivo N-terminal alpha A crystallin truncation and relating this newly detected protein species to alpha crystallin activity regulation by protease cleavage in the healthy young murine lens. We assess the present state of technology and suggest a shift in resources and paradigm for the routine attainment of the protein species level in proteomics."
"45","Comprehensive quantitative proteome analysis of 20S proteasome subtypes from rat liver by isotope coded affinity tag and 2-D gel-based approaches.","Schmidt, Dahlmann, Janek, Kloss, Wacker, Ackermann, Thiede, Jungblut","2006","Quantitative protein profiling is an essential part of proteomics and requires technologies that accurately, reproducibly, and comprehensively identify and quantify proteins. Over the past years, many quantitative proteomic methods have been developed. Here, 20S proteasome subtypes isolated from rat were compared by four approaches based on the combination of isotope-coded affinity tag (ICAT), 2-DE, LC and ESI and MALDI MS: (i) 2-DE, (ii) ICAT/2-DE MALDI-MS, (iii) ICAT/LC-ESI-MS, (iv) ICAT/LC-MALDI-MS. A definite qualitative advantage of 2-DE gels was the separation of all known protein species, the identification of cysteine sulfoxide of alpha-4 (RC6-IS) and N-terminal acetylation of several subunits. Furthermore, quantitative differences between the standard subunits beta-2, and beta-5 and their immunosubunits were only detected by 2-DE image analysis revealing a higher replacement of standard- by immuno-beta-subunits in subtype IV. It was obvious that for relative quantification only protein spot and mass peaks with a certain level of intensity displayed acceptable values of SD. However, ICAT in conjunction with LC/MALDI-MS was the most accurate method for quantification. The experimental data of this investigation are accessible via http://www.mpiib-berlin.mpg.de/2D-PAGE/."
"46","Eye lens proteomics.","Hoehenwarter, Klose, Jungblut","2006","The eye lens is a fascinating organ as it is in essence living transparent matter. Lenticular transparency is achieved through the peculiarities of lens morphology, a semi-apoptotic process where cells elongate and loose their organelles and the precise molecular arrangement of the bulk of soluble lenticular proteins, the crystallins. The 16 crystallins ubiquitous in mammals and their modifications have been extensively characterized by 2-DE, liquid chromatography, mass spectrometry and other protein analysis techniques. The various solubility dependant fractions as well as subproteomes of lenticular morphological sections have also been explored in detail. Extensive post translational modification of the crystallins is encountered throughout the lens as a result of ageing and disease resulting in a vast number of protein species. Proteomics methodology is therefore ideal to further comprehensive understanding of this organ and the factors involved in cataractogenesis."
"47","Proteins unique to intraphagosomally grown Mycobacterium tuberculosis.","Mattow, Siejak, Hagens, Becher, Albrecht, Krah, Schmidt, Jungblut, Kaufmann, Schaible","2006","Pathogenic mycobacteria persist and replicate within phagosomes of host phagocytes by inhibiting phagosome maturation at an early endosome stage. The molecular basis for this behavior is not understood. To identify proteins of Mycobacterium tuberculosis unique to the intraphagosomal phase, mycobacteria were purified from phagosomes of infected murine bone marrow-derived macrophages and analyzed by high-resolution 2-DE and MS. Protein patterns of intraphagosomally grown M. tuberculosis were compared with those of broth-cultured mycobacteria. The analysis revealed 11 mycobacterial proteins exclusively detected in intraphagosomal mycobacteria. Some of these proteins are involved in metabolism and cell envelope synthesis, such as the lipid carrier protein Rv1627c, and the conserved hypothetical protein Rv1130 that shows homology to a virulence-associated protein of Legionella pneumophila. The relevance of these proteins as factors enabling intracellular survival of M. tuberculosis is being discussed."
"48","Selenium-binding protein 2, the major hepatic target for acetaminophen, shows sex differences in protein abundance.","Mattow, Demuth, Haeselbarth, Jungblut, Klose","2006","Liver samples from female and male mice of two subspecies, Mus musculus musculus and Mus musculus domesticus, were investigated by a combination of 2-DE and MALDI-MS. The image analysis of the generated 2-DE patterns revealed several protein spots with significant differences in intensity/abundance between the sexes. Seven protein spots, which were prominent in 2-DE patterns of male mice, but which showed very low intensities in females, were identified as selenium-binding protein 2 (SBP2) also known as 56-kDa acetaminophen-binding protein. Edman degradation indicated that at least three of these protein spots represent N-terminally truncated SBP2 variants. Furthermore, it was shown that the observed differences in SBP2 abundance correlate with sex differences in transcription of the gene encoding SBP2, selenbp2, as revealed by RT-PCR and restriction digest as well as sequence analysis of the products. Since SBP2 has been described as the major target for acetaminophen in mouse liver cytosol, these findings are discussed with respect to their possible relevance for sex differences in acetaminophen-mediated toxicity, which have been described in a variety of mammals including mice and rats."
"49","Distinctive mass losses of tryptic peptides generated by matrix-assisted laser desorption/ionization time-of-flight/time-of-flight.","Schmidt, Krah, Schmid, Jungblut, Thiede","2006",NA
"50","Human neutrophils kill Bacillus anthracis.","Mayer-Scholl, Hurwitz, Brinkmann, Schmid, Jungblut, Weinrauch, Zychlinsky","2005","Bacillus anthracis spores cause natural infections and are used as biological weapons. Inhalation infection with B. anthracis, the etiological agent of anthrax, is almost always lethal, yet cutaneous infections usually remain localized and resolve spontaneously. Neutrophils are typically recruited to cutaneous but seldom to other forms of anthrax infections, raising the possibility that neutrophils kill B. anthracis. In this study we infected human neutrophils with either spores or vegetative bacteria of a wild-type strain, or strains, expressing only one of the two major virulence factors. The human neutrophils engulfed B. anthracis spores, which germinated intracellularly and were then efficiently killed. Interestingly, neutrophil killing was independent of reactive oxygen species production. We fractionated a human neutrophil granule extract by high-performance liquid chromatography and identified alpha-defensins as the component responsible for B. anthracis killing. These data suggest that the timely recruitment of neutrophils can control cutaneous infections and possibly other forms of B. anthracis infections, and that alpha-defensins play an important role in the potent anti-B. anthracis activity of neutrophils."
"51","Gene expression and protein profiling of AGS gastric epithelial cells upon infection with Helicobacter pylori.","Backert, Gressmann, Kwok, Zimny-Arndt, König, Jungblut, Meyer","2005","Helicobacter pylori, one of the most common bacterial pathogens, colonizes the human stomach and causes a variety of gastric diseases. This pathogen elicits a range of phenotypic responses in infected cultured AGS gastric epithelial cells, including expression of proinflammatory genes and changes in the actin cytoskeleton. Some of these responses are mediated by the type IV secretion system (T4SS) encoded by the cag pathogenicity island. We have used two global approaches, namely 2-DE combined with PMF and cDNA expression array analyses, to study in both a comprehensive and quantitative manner the protein profile and the temporal patterns of mRNA accumulation in AGS cells upon infection with H. pylori and isogenic T4SS mutants. We identified 140 transcripts and detected 190 protein species that were differentially regulated upon infection. Infection with wild-type H. pylori induced expression of a variety of host genes and changes in protein pattern involved in transcriptional responses, cell shape regulation and signal transduction. Among them, some were differentially regulated in a cag PAI-dependent manner, as shown by both the proteomic and cDNA expression array approaches. While 2-DE and PMF allowed us to examine the protein profiles in the infected host, array analysis enabled us to demonstrate dynamic temporal changes in host gene expression profile. In conclusion, our combined application of the two global approaches provides further molecular details on how the host cell responds to infection by H. pylori and its isogenic T4SS mutants on both transcriptional and protein levels. The findings pinpoint host proteins such as serine/threonine and tyrosine kinases, transcription factors, cell cycle related components and actin cytoskeletal signaling molecules as potential targets of individual H. pylori virulence determinants. This study serves as a basis for future work on transcription and proteome analyses of the H. pylori infection model."
"52","Calibration of mass spectrometric peptide mass fingerprint data without specific external or internal calibrants.","Wolski, Lalowski, Jungblut, Reinert","2005","Peptide Mass Fingerprinting (PMF) is a widely used mass spectrometry (MS) method of analysis of proteins and peptides. It relies on the comparison between experimentally determined and theoretical mass spectra. The PMF process requires calibration, usually performed with external or internal calibrants of known molecular masses."
"53","Proteomic identification of M. tuberculosis protein kinase substrates: PknB recruits GarA, a FHA domain-containing protein, through activation loop-mediated interactions.","Villarino, Duran, Wehenkel, Fernandez, England, Brodin, Cole, Zimny-Arndt, Jungblut, Cerveñansky, Alzari","2005","Genes for functional Ser/Thr protein kinases (STPKs) are ubiquitous in prokaryotic genomes, but little is known about their physiological substrates and their actual involvement in bacterial signal transduction pathways. We report here the identification of GarA (Rv1827), a Forkhead-associated (FHA) domain-containing protein, as a putative physiological substrate of PknB, an essential Ser/Thr protein kinase from Mycobacterium tuberculosis. Using a global proteomic approach, GarA was found to be the best detectable substrate of the PknB catalytic domain in non-denatured whole-cell protein extracts from M. tuberculosis and the saprophyte Mycobacterium smegmatis. Enzymological and binding studies of the recombinant proteins demonstrate that docking interactions between the activation loop of PknB and the C-terminal FHA domain of GarA are required to enable efficient phosphorylation at a single N-terminal threonine residue, Thr22, of the substrate. The predicted amino acid sequence of the garA gene, including both the N-terminal phosphorylation motif and the FHA domain, is strongly conserved in mycobacteria and other related actinomycetes, suggesting a functional role of GarA in putative STPK-mediated signal transduction pathways. The ensuing model of PknB-GarA interactions suggests a substrate recruitment mechanism that might apply to other mycobacterial kinases bearing multiple phosphorylation sites in their activation loops."
"54","Identification of Helicobacter pylori surface proteins by selective proteinase K digestion and antibody phage display.","Sabarth, Hurvitz, Schmidt, Zimny-Arndt, Jungblut, Meyer, Bumann","2005","Five surface proteins of Helicobacter pylori were identified by proteinase K treatment of live H. pylori followed by proteome analysis. One of the identified proteins, HopQ, is also recognized by an antibody selected by phage display screening of intact H. pylori."
"55","Eye lens proteomics: from global approach to detailed information about phakinin and gamma E and F crystallin genes.","Hoehenwarter, Kumar, Wacker, Zimny-Arndt, Klose, Jungblut","2005","Exploration of the lenticular proteome poses a challenging and worthwhile undertaking as cataracts, the products of a disease phenotype elicited by this proteome, remains the leading cause of vision impairment worldwide. The complete ten day old lens proteome of Mus musculus C57BL/6J was resolved into 900 distinct spots by large gel carrier ampholyte based 2-DE. The predicted amino acid sequences of all 16 crystallins ubiquitous in mammals were corroborated by mass spectrometry (MS). In detailed individual spot analyses, the primary structure of the full murine C57BL/6J beaded filament component phakinin CP49 was sequenced by liquid chromatography/electrospray ionization-tandem MS and amended at two positions. This definitive polypeptide sequence was aligned to the mouse genome, thus identifying the entire C57BL/6J genomic coding region. Also, two murine C57/6J polypeptides, both previously classified as gamma F crystallin, were clearly distinguished by MS and electrophoretic mobility. Both were assigned to their respective genes, one of the polypeptides was reclassified as C57BL/6J gamma E crystallin. Building on these data and previous investigations an updated crystallin reference map was put forth and several non crystallin lenticular components were examined. These results represent the first part of a comprehensive investigation of the mouse lens proteome (http://www.mpiib-berlin.mpg.de/2D-PAGE) with emphasis on understanding genetic effects on proteins and disease development."
"56","Peptide mass fingerprinting.","Thiede, Höhenwarter, Krah, Mattow, Schmid, Schmidt, Jungblut","2005","Peptide mass fingerprinting by MALDI-MS and sequencing by tandem mass spectrometry have evolved into the major methods for identification of proteins following separation by two-dimensional gel electrophoresis, SDS-PAGE or liquid chromatography. One main technological goal of proteome analyses beside high sensitivity and automation was the comprehensive analysis of proteins. Therefore, the protein species level with the essential information on co- and post-translational modifications must be achieved. The power of peptide mass fingerprinting for protein identification was described here, as exemplified by the identification of protein species with high molecular masses (spectrin alpha and beta), low molecular masses (elongation factor EF-TU fragments), splice variants (alpha A crystallin), aggregates with disulfide bridges (alkylhydroperoxide reductase), and phosphorylated proteins (heat shock protein 27). Helpful tools for these analyses were the use of the minimal protein identifier concept and the software program MS-Screener to remove mass peaks assignable to contaminants and neighbor spots."
"57","Subproteomes of soluble and structure-bound Helicobacter pylori proteins analyzed by two-dimensional gel electrophoresis and mass spectrometry.","Backert, Kwok, Schmid, Selbach, Moese, Peek, König, Meyer, Jungblut","2005","Helicobacter pylori is one of the most common bacterial pathogens and causes a variety of diseases, such as peptic ulcer or gastric cancer. Despite intensive study of this human pathogen in the last decades, knowledge about its membrane proteins and, in particular, those which are putative components of the type IV secretion system encoded by the cag pathogenicity island (PAI) remains limited. Our aim is to establish a dynamic two-dimensional electrophoresis-polyacrylamide gel electrophoresis (2-DE-PAGE) database with multiple subproteomes of H. pylori (http://www.mpiib-berlin.mpg.de/2D-PAGE) which facilitates identification of bacterial proteins important in pathogen-host interactions. Using a proteomic approach, we investigated the protein composition of two H. pylori fractions: soluble proteins and structure-bound proteins (including membrane proteins). Both fractions differed markedly in the overall protein composition as determined by 2-DE. The 50 most abundant protein spots in each fraction were identified by peptide mass fingerprinting. We detected four cag PAI proteins, numerous outer membrane proteins (OMPs), the vacuolating cytotoxin VacA, other potential virulence factors, and few ribosomal proteins in the structure-bound fraction. In contrast, catalase (KatA), gamma-glutamyltranspeptidase (Ggt), and the neutrophil-activating protein NapA were found almost exclusively in the soluble protein fraction. The results presented here are an important complement to genome sequence data, and the established 2-D PAGE maps provide a basis for comparative studies of the H. pylori proteome. Such subproteomes in the public domain will be effective instruments for identifying new virulence factors and antigens of potential diagnostic and/or curative value against infections with this important pathogen."
"58","Lack of stage-specific proteins in coccoid Helicobacter pylori cells.","Bumann, Habibi, Kan, Schmid, Goosmann, Brinkmann, Meyer, Jungblut","2004","Helicobacter pylori exists in two distinct forms, rod shaped or coccoid, in stomachs of infected patients. Based on in vitro proteome comparisons, there are no detectable coccoid-specific proteins, which argues against the specific adaptation of coccoid Helicobacter to distinct biological functions, such as enhanced persistence or transmission to other hosts."
"59","CFP10 discriminates between nonacetylated and acetylated ESAT-6 of Mycobacterium tuberculosis by differential interaction.","Okkels, Müller, Schmid, Rosenkrands, Kaufmann, Andersen, Jungblut","2004","ESAT-6 (the 6 kDa early secreted antigenic target) protein species in short-term culture filtrate of Mycobacterium tuberculosis were separated in a 4-5 narrow range pI gradient two-dimensional gel electrophoresis (2-DE). Eight ESAT-6 protein species were analyzed in detail by peptide mass fingerprinting matrix-assisted laser desorption/ionization-mass spectrometry as well as by electrospray ionization-tandem mass spectrometry. An N-terminal Thr acetylation was identified in four species and a C-terminal truncation was identified in two species. In 2-DE blot overlay assays, the recombinant 10 kDa culture filtrate protein (CFP10) discriminated N-terminal acetylated and nonacetylated ESAT-6 by differential interaction, whereas removal of the C-terminal 11 residues of ESAT-6 had no effects thereon. This example shows that the access to the protein species level can be a prerequisite to understand regulation of protein-protein interaction."
"60","Helicobacter pylori vaccine development based on combined subproteome analysis.","Bumann, Jungblut, Meyer","2004","Effective vaccines could provide long-term solutions to many important infectious diseases, however, vaccine development has been hampered by the slow identification of protective antigens. Proteomics provides global information about relevant antigen properties and thus might be ideally suited for identifying promising vaccine antigen subsets. Helicobacter pylori proteomics data are stored in a proteomics database (http://www.mpiib-berlin.mpg.de/2D-PAGE/). In this review, we describe how a combined Helicobacter subproteome analysis resulted in the rapid identification of novel, highly protective antigens. This illustrates the great potential of pathogen proteomics for vaccine development."
"61","The Helicobacter pylori CagA protein induces tyrosine dephosphorylation of ezrin.","Selbach, Moese, Backert, Jungblut, Meyer","2004","Helicobacter pylori is one of the most wide-spread bacterial pathogens and infects the human stomach to cause diseases, such as gastritis, gastric ulceration, and gastric cancer. A major virulence determinant is the H. pylori CagA protein (encoded by the cytotoxin-associated gene A) which is translocated from the bacteria into the cytoplasm of host cells by a type IV secretion system. In the host cell, CagA is phosphorylated on tyrosine residues and induces rearrangements of the actin cytoskeleton. We have previously shown that tyrosine-phosphorylated CagA inhibits the catalytic activity of Src family kinases and induces tyrosine dephosphorylation of several host cell proteins. Here, we identified one of these proteins as ezrin by a combination of preparative gel electrophoresis, two-dimensional electrophoresis (2-DE) and matrix-assisted laser desorption/ionization-mass spectrometry (MALDI-MS). Specific pharmacological inhibition of Src family kinases also induces ezrin dephosphorylation. Therefore, ezrin dephosphorylation appears to be induced by CagA-mediated Src inactivation. Ezrin is the founding member of the ezrin-radixin-moesin (ERM) family of proteins which are signalling integrators at the cell cortex. Since ezrin is a component of microvilli and a linker protein between actin filaments and membrane proteins, this observation has important implications for H. pylori pathogenesis and might also help to explain the development of gastric cancer."
"62","Action and reaction: Chlamydophila pneumoniae proteome alteration in a persistent infection induced by iron deficiency.","Wehrl, Meyer, Jungblut, Müller, Szczepek","2004","Chlamydophila pneumoniae is an obligate intracellular pathogen implicated in a variety of acute and chronic diseases. Long-term infections are associated with a persistent life stage, in which bacteria can stay for years. They are less accessible to antibiotic treatment but still prone to sustain an inflammatory response. Different in vitro models have been established to mimic and characterize chlamydial persistency. For C. pneumoniae and Chlamydia trachomatis, altered metabolic activities and changed antigenic profiles compared to acute infections have been reported. Most studies including transcriptome and proteome analyses describe persistency induced by IFNgamma treatment. Here, we use iron depletion of the infected cell culture that also leads into persistent infection. We describe differently regulated proteins found by subtractive proteome analysis comparing two early stages of infection with and without addition of the iron chelator deferoxamine-mesylate. While only one bacterial protein was up-regulated during iron deficiency up to 24 h post infection (p.i.), 11 were found to be up-regulated and eight to be down-regulated from 24-48 h p.i. Two down-regulated proteins could be identified by peptide mass fingerprinting as thioredoxin reductase and chromosome partitioning protein (ParB). The latter is involved in chromosome segregation. Thus, using a comparative approach we identified on a proteome level down-regulation of ParB in persistent chlamydial forms, which is in agreement with previous results describing changes in cell division and atypical altered morphology of persistent Chlamydiae."
"63","Presentation of differentially regulated proteins within a web-accessible proteome database system of microorganisms.","Pleissner, Schmelzer, Wehrl, Jungblut","2004","Web-accessible proteome databases represent indispensable tools for quantitative and comparative proteomics research. The majority of two-dimensional gel electrophoresis (2-DE) databases contains clickable 2-DE gel images and descriptive textual information such as protein name, Mr/pI values, methods of identification, cellular localization and other information on proteins. Although a great part of the work in comparative proteomics consists of the analysis of 2-DE gels using image analysis approaches, most proteome databases lack the ability to present protein abundance data and their alterations within experiments via the web. Now, differentially regulated proteins detected in microbial experiments by quantitative gel image analysis are presented in a web-accessible relational database DIFF (Differentially Regulated Proteins). The DIFF database is a part of the proteome database system for microbial research available at http://www.mpiib-berlin.mpg.de/2D-PAGE."
"64","Proteomic analysis of the sarcosine-insoluble outer membrane fraction of the bacterial pathogen Bartonella henselae.","Rhomberg, Karlberg, Mini, Zimny-Arndt, Wickenberg, Röttgen, Jungblut, Jenö, Andersson, Dehio","2004","Bartonella henselae is an emerging zoonotic pathogen causing a wide range of disease manifestations in humans. In this study, we report on the analysis of the sarcosine-insoluble outer membrane fraction of B. henselae ATCC 49882 Houston-1 by one-dimensional sodium dodecyl sulfate-polyacrylamide gel electrophoresis (1-D SDS-PAGE) and two-dimensional nonequilibrium pH gradient polyacrylamide gel electrophoresis (2-D NEPHGE). Protein species were identified by matrix-assisted laser desorption/ionization-time of flight-mass spectrometry (MALDI-TOF-MS) and subsequent database query against the B. henselae genome sequence. Subcellular fractionation, application of the ionic detergent lauryl sarcosine, assessment of trypsin sensitivity, and heat modifiability of surface-exposed proteins represented valuable tools for the analysis of the outer membrane subproteome of B. henselae. 2-D NEPHGE was applied to display and catalogue a substantial number of proteins associated with the B. henselae sarcosine-insoluble outer membrane fraction, resulting in the establishment of a first 2-D reference map of this compartment. Thus, 53 distinct protein species associated with the outer membrane subproteome fraction were identified. This study provides novel insights into the membrane biology and the associated putative virulence factors of this pathogen of increasing medical importance."
"65","Proteome comparison of Vibrio cholerae cultured in aerobic and anaerobic conditions.","Kan, Habibi, Schmid, Liang, Wang, Wang, Jungblut","2004","The pathogen Vibrio cholerae causes severe diarrheal disease in humans. This environmental inhabitant has two distinct life cycles, in the environment and in the human small intestine, in which it differs in its multiplication behavior and virulence expression. Anaerobiosis, limitation of some nutrient elements, and excess burden from host metabolism reactants are the major stresses for V. cholerae living in intestine, in comparison to conditions in the environment and laboratory medium. For an insight into the response of V. cholerae to different microenvironments, we cultured the bacteria in aerobic and anaerobic conditions, and compared the whole cell proteome by two-dimensional electrophoresis. Among the protein spots identified, some protein species involved in aerobic respiration and the nutrient carbohydrate transporters were found to be more abundant in aerobic conditions, and some enzymes for anaerobic respiration and some stress response proteins were found more abundant in anaerobic culture. One spot corresponding to flagellin B subunit was decreased in anaerobic conditions, which suggests correlation with the meticulous regulation of bacterial motility during infection in the host intestine. This proteome analysis is the starting point for in-depth understanding of V. cholerae behavior in different environments."
"66","Web-accessible proteome databases for microbial research.","Pleissner, Eifert, Buettner, Schmidt, Boehme, Meyer, Kaufmann, Jungblut","2004","The analysis of proteomes of biological organisms represents a major challenge of the post-genome era. Classical proteomics combines two-dimensional electrophoresis (2-DE) and mass spectrometry (MS) for the identification of proteins. Novel technologies such as isotope coded affinity tag (ICAT)-liquid chromatography/mass spectrometry (LC/MS) open new insights into protein alterations. The vast amount and diverse types of proteomic data require adequate web-accessible computational and database technologies for storage, integration, dissemination, analysis and visualization. A proteome database system (http://www.mpiib-berlin.mpg.de/2D-PAGE) for microbial research has been constructed which integrates 2-DE/MS, ICAT-LC/MS and functional classification data of proteins with genomic, metabolic and other biological knowledge sources. The two-dimensional polyacrylamide gel electrophoresis database delivers experimental data on microbial proteins including mass spectra for the validation of protein identification. The ICAT-LC/MS database comprises experimental data for protein alterations of mycobacterial strains BCG vs. H37Rv. By formulating complex queries within a functional protein classification database ""FUNC_CLASS"" for Mycobacterium tuberculosis and Helicobacter pylori the researcher can gather precise information on genes, proteins, protein classes and metabolic pathways. The use of the R language in the database architecture allows high-level data analysis and visualization to be performed ""on-the-fly"". The database system is centrally administrated, and investigators without specific bioinformatic competence in database construction can submit their data. The database system also serves as a template for a prototype of a European Proteome Database of Pathogenic Bacteria. Currently, the database system includes proteome information for six strains of microorganisms."
"67","A European focus on proteomics.","Spahn, Lehrach, Jungblut","2004","A report on the First International Symposium of the Austrian Proteomics Platform, Seefeld, Austria, 26-29 January 2004."
"68","Immunoproteomics.","Krah, Jungblut","2004","Two-dimensional electrophoresis results in an adequate resolution of the proteome of microorganisms to allow the detection and identification of specific antigens after blotting on membranes and overlaying the protein pattern with patient's sera. The complement of all identified antigens presents the immunoproteome of a microorganism. All the antigens specific for a microorganism or even for a disease are identified by mass spectrometry. For identification, peptide mass fingerprinting is used, and post-translational modifications are detected by mass spectrometry MS/MS techniques. High-resolution two-dimensional electrophoresis and unambiguous identification are prerequisites for reliable results. After statistical analysis, the resulting antigens are candidates for diagnosis or vaccination and targets for therapy."
